Salt,Theory,Model,Job Name,Tm [K],Tm Lower Bound [K],Tm Upper Bound [K],dTm Experiment [K]
LiF,Expeirment,,,1121.300000,1119.300000,1123.300000,0.000000
LiF,JC,,10K-Bubble_R_JC_NPT,1562.390909,1562.390909,1564.572727,441.090909
LiF,BH,GI2,10K-CA2_R_BH_Model_GI2_NPT,1529.420526,1529.194737,1529.420526,408.120526
LiF,JC,,10K-CA2_R_JC_NPT,1620.955735,1620.955735,1621.070440,499.655735
LiCl,Expeirment,,,883.200000,881.200000,885.200000,0.000000
LiCl,JC,,10K-Bubble_R_JC_NPT,1155.420062,1155.420062,1155.770066,272.220062
LiCl,BH,GG1,10K-CA2_R_BH_Model_GG1_NPT,1183.822580,1183.822580,1184.341565,300.622580
LiCl,BH,GG2,10K-CA2_R_BH_Model_GG2_NPT,1171.011808,1171.011808,1171.745784,287.811808
LiCl,BH,GI2,10K-CA2_R_BH_Model_GI2_NPT,1261.308083,1259.929597,1261.308083,378.108083
LiCl,JC,,10K-CA2_R_JC_NPT,1221.699664,1221.450461,1221.699664,338.499664
LiCl,JC,,10K-CA3_R_JC_NPT,1223.862147,1223.670167,1223.862147,340.662147
LiBr,Expeirment,,,825.200000,822.200000,828.200000,0.000000
LiBr,JC,,10K-Bubble_R_JC_NPT,995.654106,991.866667,995.654106,170.454106
LiBr,BH,GI3,10K-CA2_R_BH_Model_GI3_NPT,1186.330646,1186.330646,1187.176455,361.130646
LiBr,JC,,10K-CA2_R_JC_NPT,1068.401280,1068.401280,1068.825645,243.201280
LiBr,JC,,20K-CA3_R_JC_NPT,1069.526821,1069.526821,1069.636889,244.326821
LiI,Expeirment,,,742.200000,739.200000,745.200000,0.000000
LiI,JC,,10K-Bubble_R_JC_NPT,762.783242,762.783242,766.138879,20.583242
LiI,BH,GG1,10K-CA2_R_BH_Model_GG1_NPT,1103.434907,1103.434907,1104.504420,361.234907
LiI,BH,GI2,10K-CA2_R_BH_Model_GI2_NPT,1114.135449,1111.896970,1114.135449,371.935449
